Image,NumDet,NumGT,TP,FP,FN,Precision,Recall,F1,MsPerImage
image_00000011.jpg,5,0,0,5,0,0,0,0,213.417
image_00000015.jpg,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197.065
image_00000025.jpg,4,0,0,4,0,0,0,0,204.086
image_00000030.jpg,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.726
image_00000032.jpg,7,0,0,7,0,0,0,0,197.076
image_00000035.jpg,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197.869
image_00000059.jpg,5,0,0,5,0,0,0,0,200.938
image_00000069.jpg,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196.851
image_00000070.jpg,7,0,0,7,0,0,0,0,198.388
image_00000077.jpg,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199.646
image_00000096.jpg,3,0,0,3,0,0,0,0,210.426
image_00000099.jpg,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,204.179
image_00000121.jpg,3,0,0,3,0,0,0,0,203.092
image_00000126.jpg,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.304
image_00000133.jpg,5,0,0,5,0,0,0,0,213.498
image_00000157.jpg,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191.077
image_00000178.jpg,5,0,0,5,0,0,0,0,198.516
image_00000204.jpg,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200.967
image_00000227.jpg,6,0,0,6,0,0,0,0,193.942
image_00000231.jpg,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.257
image_00000242.jpg,7,0,0,7,0,0,0,0,199.427
image_00000244.jpg,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.606
image_00000256.jpg,5,0,0,5,0,0,0,0,197.613
image_00000266.jpg,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183.798
image_00000269.jpg,6,0,0,6,0,0,0,0,193.32
image_00000280.jpg,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198.603
image_00000288.jpg,8,0,0,8,0,0,0,0,194.511
image_00000290.jpg,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202.088
image_00000299.jpg,10,0,0,10,0,0,0,0,196.897
image_00000308.jpg,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,197.839
